"id","ranking","repo","url","description","lang","stars","forks","added_stars","time"
"2453","13","/Expensify/App","https://github.com/Expensify/App","Welcome to New Expensify: a complete re-imagination of financial collaboration, centered around chat. Help us build the next generation of Expensify by sharing feedback and contributing to the code.","JavaScript","1,033","913","10 stars today","2023-04-28 21:09:14"
"2454","14","/aniskoubaa/rosgpt","https://github.com/aniskoubaa/rosgpt","","Python","114","23","12 stars today","2023-04-28 21:09:14"
"2455","15","/TheRamU/Fay","https://github.com/TheRamU/Fay","Fay是一个完整的开源项目，包含Fay控制器及数字人模型，可灵活组合出不同的应用场景：虚拟主播、现场推销货、商品导购、语音助理、远程语音助理、数字人互动、数字人面试官及心理测评、贾维斯、Her。 开源项目，非产品试用！！！","JavaScript","2,074","405","84 stars today","2023-04-28 21:09:14"
"2456","16","/go-skynet/LocalAI","https://github.com/go-skynet/LocalAI","  Self-hosted, community-driven simple local OpenAI-compatible API written in go. Can be used as a drop-in replacement for OpenAI, running on CPU with consumer-grade hardware. Supports ggml compatible models, for instance: LLaMA, alpaca, gpt4all, vicuna, koala, gpt4all-j, cerebras","Go","1,519","62","98 stars today","2023-04-28 21:09:14"
"2457","17","/k8sgpt-ai/k8sgpt","https://github.com/k8sgpt-ai/k8sgpt","Giving Kubernetes Superpowers to everyone","Go","1,804","178","37 stars today","2023-04-28 21:09:14"
"2458","18","/GreyDGL/PentestGPT","https://github.com/GreyDGL/PentestGPT","A GPT-empowered penetration testing tool","Python","1,378","110","346 stars today","2023-04-28 21:09:14"
"2459","19","/open-mmlab/mmagic","https://github.com/open-mmlab/mmagic","OpenMMLab Multimodal Advanced, Generative, and Intelligent Creation Toolbox. Unlock the magic  : Generative-AI (AIGC), easy-to-use APIs, awsome model zoo, diffusion models, image/video restoration/enhancement, etc.","Python","4,577","801","47 stars today","2023-04-28 21:09:14"
"2460","20","/xtekky/chatgpt-clone","https://github.com/xtekky/chatgpt-clone","ChatGPT interface with better UI","Python","1,052","226","183 stars today","2023-04-28 21:09:14"
"2461","21","/BigBrotherTrade/trader","https://github.com/BigBrotherTrade/trader","交易模块","Python","762","188","66 stars today","2023-04-28 21:09:14"
"2462","22","/freedmand/semantra","https://github.com/freedmand/semantra","Multi-tool for semantic search","Python","1,042","61","135 stars today","2023-04-28 21:09:14"
"2463","23","/kodekloudhub/linux-basics-course","https://github.com/kodekloudhub/linux-basics-course","","","804","1,765","13 stars today","2023-04-28 21:09:14"
"2464","24","/alaeddine-13/thinkgpt","https://github.com/alaeddine-13/thinkgpt","Agent techniques to augment your LLM and push it beyong its limits","Python","555","28","29 stars today","2023-04-28 21:09:14"
"2465","25","/Atlas-OS/Atlas","https://github.com/Atlas-OS/Atlas","  An open and transparent Windows operating system, designed to optimize performance and latency.","Batchfile","6,298","305","150 stars today","2023-04-28 21:09:14"
"2416","1","/xtekky/gpt4free","https://github.com/xtekky/gpt4free","decentralising the Ai Industry, free gpt-4/3.5 scripts through several reverse engineered api's ( poe.com, phind.com, chat.openai.com, phind.com, writesonic.com, sqlchat.ai, t3nsor.com, you.com etc...)","Python","7,368","643","2,953 stars today","2023-04-26 21:12:22"
"2417","2","/mitsuhiko/rye","https://github.com/mitsuhiko/rye","an experimental alternative to poetry/pip/pipenv/pyenv/venv/virtualenv/pdm/hatch/…","Rust","3,113","53","666 stars today","2023-04-26 21:12:22"
"2418","3","/sindresorhus/awesome","https://github.com/sindresorhus/awesome","  Awesome lists about all kinds of interesting topics","","250,768","25,468","158 stars today","2023-04-26 21:12:22"
"2419","4","/Josh-XT/Agent-LLM","https://github.com/Josh-XT/Agent-LLM","An Artificial Intelligence Automation Platform. AI Instruction management from various providers, has an adaptive memory, and a versatile plugin system with many commands including web browsing. Supports many AI providers and models and growing support every day.","Python","639","92","255 stars today","2023-04-26 21:12:22"
"2420","5","/whoiskatrin/chart-gpt","https://github.com/whoiskatrin/chart-gpt","AI tool to build charts based on text input","TypeScript","1,240","99","204 stars today","2023-04-26 21:12:22"
"2421","6","/Snaacky/dndserver","https://github.com/Snaacky/dndserver","Dark and Darker private server implementation written in Python.","Python","59","32","13 stars today","2023-04-26 21:12:22"
"2422","7","/lvwzhen/law-cn-ai","https://github.com/lvwzhen/law-cn-ai","  AI 法律助手","TypeScript","2,408","334","247 stars today","2023-04-26 21:12:22"
"2423","8","/GreyDGL/PentestGPT","https://github.com/GreyDGL/PentestGPT","A GPT-empowered penetration testing tool","HTML","673","70","201 stars today","2023-04-26 21:12:22"
"2424","9","/BigBrotherTrade/trader","https://github.com/BigBrotherTrade/trader","交易模块","Python","542","137","97 stars today","2023-04-26 21:12:22"
"2425","10","/Dogtiti/AutoGPT-Next-Web","https://github.com/Dogtiti/AutoGPT-Next-Web","  Assemble, configure, and deploy autonomous AI Agents in your browser.一键免费部署你的私人AutoGPT 网页应用","TypeScript","618","226","268 stars today","2023-04-26 21:12:22"
"2426","11","/Developer-Y/cs-video-courses","https://github.com/Developer-Y/cs-video-courses","List of Computer Science courses with video lectures.","","55,014","7,831","119 stars today","2023-04-26 21:12:22"
"2427","12","/roboflow/notebooks","https://github.com/roboflow/notebooks","Examples and tutorials on using SOTA computer vision models and techniques. Learn everything from old-school ResNet, through YOLO and object-detection transformers like DETR, to the latest models like Grounding DINO and SAM.","Jupyter Notebook","1,588","246","137 stars today","2023-04-26 21:12:22"
